DOI	Title	Authors	Abstract	Journal	Date
10.1248/bpb.b15-00842	mechanism underlie induction of hyperglycemia in rat by single administration of olanzapine .	Nagata M, Nakajima M, Ishiwata Y, Takahashi Y, Takahashi H, Negishi K, Yasuhara M	acute administration of olanzapine rapidly elevate blood glucose level . however , the mechanism underlie the rapid development of hyperglycemia with the administration of olanzapine remain unclear . the aim of the present study be to clarify the mechanism underlie olanzapine-induced acute hyperglycemia . male wistar rat receive an intravenous infusion of saline ( control ) or olanzapine 2.5 , 5 , or 10 mg/kg . blood sample be obtain periodically after olanzapine infusion to determine serum concentration of glucose , olanzapine , and several endogenous substance . in a separate experiment , rat receive an intravenous injection of propranolol ( 2 mg/kg ) 30 min before infusion of olanzapine ( 10 mg/kg ) . the intravenous infusion of olanzapine induce dose-dependent increase in the serum concentration of glucose , epinephrine , and insulin . pretreatment with propranolol suppress olanzapine-induced elevation in the serum concentration of glucose , but do not affect the serum concentration of olanzapine or olanzapine-induced increase in the serum concentration of epinephrine . although the serum concentration of corticosterone increase after administration of olanzapine , no significant difference be observe among the olanzapine dose group . furthermore , administration of olanzapine do not affect the serum concentration of glucagon or histamine . we develop a pharmacokinetic-pharmacodynamic model assume that the olanzapine-induced secretion of epinephrine lead to elevate serum glucose concentration . this model appear to satisfactorily characterize olanzapine-induced hyperglycemia . in conclusion , a single intravenous dose of olanzapine dose-dependently increase the serum concentration of glucose in rat , and epinephrine play a role in olanzapine-induced acute hyperglycemia .	Biological & pharmaceutical bulletin	01/01/2016
10.1016/S1470-2045(25)00409-7	first-line immunotherapy with or without chemotherapy versus braf plus mek inhibitor in braf ( v600e ) -mutated metastatic non-small-cell lung cancer ( front-braf ) : a multicentre , retrospective cohort study .	Di Federico A, Wang K, Chen MF, Barsouk AA, Pagliaro A, Chen LN, Ogliari FR, Stockhammer P, Thawani R, Raslan S, Gariazzo E, Fusco F, Hambelton GM, Citarella F, Meyer D, Aldea M, De Giglio A, Alessi JV, Pecci F, Gelsomino F, Corassa M, Vokes NI, Wang X, de Biase D, Abu Rous F, Areesawangkit P, Elghawy O, Cortellini A, Metro G, Ferrara R, Awad MM, Pabani A, Murray JC, Cappuzzo F, Garassino MC, Dagogo-Jack I, Riely G, Grant M, Herzberg BO, Ardizzoni A, Planchard D, Johnson BE, Langer CJ, Offin M, Negrao MV, Ricciuti B	patient with braf ( v600e ) ( ie , val600glu ) -mutated non-small-cell lung cancer ( nsclc ) can be treat with braf and mitogen-activated protein kinase ( mek ) inhibitor , or with immune checkpoint inhibitor ( icis ) with or without chemotherapy . we aim to investigate which initial systemic treatment should be prioritise in this population . in this retrospective cohort study conduct across 17 centre in the usa , italy , france , and brazil , clinicopathological data be collect from participant age 18 year and old with stage iv , treatment-naive , metastatic braf ( v600e ) -mutated nsclc and with an eastern cooperative oncology group performance status of 0-3 , who start first-line treatment with icis with or without chemotherapy ( pd-1 or pd-l1 inhibitor with or without platinum-based chemotherapy ) or braf and mek inhibitor ( dabrafenib and trametinib or encorafenib and binimetinib ) between jan 2 , 2015 , and july 11 , 2024. the primary endpoint be overall survival with first-line icis with or without chemotherapy versus with braf and mek inhibitor . 284 participant be identify for this study , of whom 88 ( 31 % ) receive icis with or without chemotherapy and 196 ( 69 % ) receive braf and mek inhibitor . the median age of participant be 68 year ( iqr 61-74 ) , and 148 ( 52 % ) participant be female and 136 ( 48 % ) male . participant in the icis with or without chemotherapy group have a high history of smoking ( 73 [ 83 % ] v 118 [ 60 % ] ; p=0·0002 ) and a high pd-l1 expression ( ≥50 % in 58 [ 66 % ] v 76 [ 39 % ] , 1-49 % in 16 [ 18 % ] v 67 [ 34 % ] , and < 1 % in eight [ 9 % ] v 31 [ 16 % ] ; p=0·0003 ) than those in the braf and mek inhibitor group . at a median follow-up time of 45·0 month ( 95 % ci 39·0-55·7 ) , icis with or without chemotherapy be associate with improved median overall survival compare with braf and mek inhibitor ( 40·9 month [ 95 % ci 33·3-not reach ] v 25·2 month [ 19·9-31·1 ] ; hazard ratio [ hr ] 0·69 [ 0·49-0·98 ] , p=0·039 ) . in subgroup analysis , icis with or without chemotherapy , compare with braf and mek inhibitor , be associate with long median overall survival in participant with a history of smoking ( hr 0·60 [ 0·40-0·90 ] , p=0·013 ) , with a pd-l1 tumour proportion score of ≥1 % or high ( hr 0·66 [ 0·45-0·98 ] , p=0·039 ) , age 70 year or old ( hr 0·54 [ 0·31-0·94 ] , p=0·029 ) , with tp53 co-mutations ( hr 0·46 [ 0·27-0·79 ] , p=0·0048 ) , and without brain metastasis ( hr 0·66 [ 0·45-0·99 ] , p=0·045 ) . with braf and mek inhibitor , frequency of adverse event of any grade and of grade 3 and high be similar whether administer a first-line therapy or a second-line therapy follow icis with or without chemotherapy . first-line icis with or without chemotherapy be associate with improved overall survival compare with braf and mek inhibitor in participant with metastatic braf ( v600e ) -mutated nsclc , particularly among specific subpopulation . these finding , although suggest potential clinical relevance , remain exploratory and require confirmation from prospective study . nextgenerationeu .	The Lancet. Oncology	01/01/2045
10.1186/s12943-025-02458-9	microbiome-metabolome interplay in pancreatic cancer progression : insight from multi-omics analysis .	Luo D, Chen Q, Li Y, Yang J, Tao Y, Ji L, Gong X	recent study suggest that intratumoral microbiome and alter metabolic network play crucial role in pancreatic cancer ( pc ) progression . however , the precise interplay between microbial community and tumor metabolism in pc remain poorly understood . this study aim to investigate the impact of the intratumoral microbiome , the metabolic landscape , and their interaction on pc development . 16 rdna sequencing and untargeted metabolomic profiling be perform on 47 paired pancreatic cancer and adjacent normal tissue to analyze their intratumoral microbiome and metabolic landscape . bioinformatics tool be use to conduct differential microbiome abundance analysis and pathway enrichment . a correlation analysis be perform to identify key microbiota-metabolite interaction . 16 rdna sequence reveal significant difference in the abundance and diversity ( α-diversity and β-diversity ) of the intratumoral microbiome in pc . the predominant specie in pancreatic cancer be pseudomonas . enrichment analysis show that amino acid metabolic pathway , include arginine and proline metabolism , arginine biosynthesis , be significantly enrich in pc . untargeted metabolomics identify 298 metabolite that be significantly alter in pc ( fold change > 1.5 , p-value < 0.05 ) . these include amino acid metabolite such a lys-leu , pro-leu , arg-leu , lys-val , his-lys , and others . functional enrichment analysis highlight several metabolic pathway that play important role in pancreatic cancer , include glycine , serine , and threonine metabolism , amino acid biosynthesis , metabolic pathway and cysteine and methionine metabolism . correlation analysis between microbiome and metabolic data reveal significant association between pseudomonas and several metabolite , include alpha-ketoisovaleric acid , 16-hydroxyhexadecanoic acid , myristic acid , nonanoic acid ( the spearman correlation coefficient r , 0.5 ≤|r|≤ 1 and p-value < 0.05 ) . this study suggest a relationship between the microbiome and metabolism in pancreatic cancer . we observe that pseudomonas contributes to alter amino acid metabolism , but whether this interaction be causal and the mechanism underlie it remain unclear . further experimental validation be require before consider microbiome-targeted metabolic intervention a viable therapeutic strategy .	Molecular cancer	02/10/2025
10.1093/eurheartj/ehaf766	taurochenodeoxycholic acid alleviate obesity-induced endothelial dysfunction .	Lu H, Wu Z, Wan M, Xiong S, Huang X, Liu T, Jiang X, He L, Ma C, Cui H, Yue X, Li J, Qin X, Wang Y, Zhang C, Yang J, Liu S, Zhang W	obesity be a global health challenge significantly increase cardiovascular disease ( cvd ) burden . effective prevention and treatment necessitate target early pathological change , particularly obesity-induced endothelial dysfunction ( ed ) . this study aim to characterize ed heterogeneity in non-hypertensive obese ( nho ) individual , investigate the association of serum metabolite with obesity-induced ed , and identify potentially predictive and therapeutic metabolite . utilize wire myograph , this study assess ed of ex vivo arteriole from omental adipose tissue of 213 nho patient , categorize into metabolically healthy obesity ( mho ) and metabolically unhealthy obesity ( muo ) . target metabolomic profiling identify association between serum metabolite and ed . obesity-induced ed in nho patient lack correlation with many traditional cardiovascular risk factor . the mho and muo individual exhibit similar ed and metabolomic profile characteristic . serum metabolomics identify bile acid ( ba ) , particularly chenodeoxycholic acid ( cdca ) , a negatively correlate with ed in nho patient . taurochenodeoxycholic acid ( tcdca ) , a taurine-conjugated derivative of cdca , protect against obesity-induced ed and hypertension . mechanistically , endothelial farnesoid x receptor ( fxr ) deletion aggravate obesity-induced ed and hypertension , negate the beneficial effect of bariatric surgery or tcdca treatment . the tcdca-fxr activation in endothelial cell upregulated atf4 transcription , which be suppress by phb1 , thereby enhance serine and one-carbon metabolism . this study suggest cdca a a promising biomarker for identification of obesity-induced ed . taurochenodeoxycholic acid demonstrate significant therapeutic potential for alleviate various form of obesity-induced ed . this effect be mediate by the endothelial tcdca-fxr-phb1-atf4 axis , which upregulates serine and one-carbon metabolism , thereby offer a novel strategy to delay the onset of hypertension and other cvds .	European heart journal	03/10/2025
10.1038/s41746-025-01976-6	current status and solution for ai ethic in ophthalmology : a bibliometric analysis .	Chen X, Yang Y, Yun D, Wang R, Lin Y, Luo M, Zhang W, Yu-Wai-Man P, Burton M, Liang L, Lin H	ophthalmology , an early adopter of medical artificial intelligence ( ai ) , have make significant advancement , but ethical discussion limit . this bibliometric analysis review 498 publication from web of science and scopus ( 2000-2023 ) to explore the evolution , status , thematic trend , data modality and their ethical focus , and solution in ophthalmic ai ethic . ophthalmology rank second in medical ai ethic , with major contributor from the united state ( u ) , china , the united kingdom ( uk ) , singapore and india . ethical concern focus on privacy , fairness , and transparency . ethical priority differ by modality with fundus imaging ( 59.4 % ) and optical coherence tomography ( oct ) ( 30.9 % ) a the most common . most study ( 78.3 % ) address ethic in diagnostic algorithm development , while only 11.5 % directly target ethical concern , though this focus be increase . this study highlight the need for ai technology and guideline to address ethical challenge in ophthalmology , offer a future direction for research and innovation in medical ai governance .	NPJ digital medicine	02/10/2025
10.1093/eurheartj/ehaf766	taurochenodeoxycholic acid alleviate obesity-induced endothelial dysfunction .	Lu H, Wu Z, Wan M, Xiong S, Huang X, Liu T, Jiang X, He L, Ma C, Cui H, Yue X, Li J, Qin X, Wang Y, Zhang C, Yang J, Liu S, Zhang W	obesity be a global health challenge significantly increase cardiovascular disease ( cvd ) burden . effective prevention and treatment necessitate target early pathological change , particularly obesity-induced endothelial dysfunction ( ed ) . this study aim to characterize ed heterogeneity in non-hypertensive obese ( nho ) individual , investigate the association of serum metabolite with obesity-induced ed , and identify potentially predictive and therapeutic metabolite . utilize wire myograph , this study assess ed of ex vivo arteriole from omental adipose tissue of 213 nho patient , categorize into metabolically healthy obesity ( mho ) and metabolically unhealthy obesity ( muo ) . target metabolomic profiling identify association between serum metabolite and ed . obesity-induced ed in nho patient lack correlation with many traditional cardiovascular risk factor . the mho and muo individual exhibit similar ed and metabolomic profile characteristic . serum metabolomics identify bile acid ( ba ) , particularly chenodeoxycholic acid ( cdca ) , a negatively correlate with ed in nho patient . taurochenodeoxycholic acid ( tcdca ) , a taurine-conjugated derivative of cdca , protect against obesity-induced ed and hypertension . mechanistically , endothelial farnesoid x receptor ( fxr ) deletion aggravate obesity-induced ed and hypertension , negate the beneficial effect of bariatric surgery or tcdca treatment . the tcdca-fxr activation in endothelial cell upregulated atf4 transcription , which be suppress by phb1 , thereby enhance serine and one-carbon metabolism . this study suggest cdca a a promising biomarker for identification of obesity-induced ed . taurochenodeoxycholic acid demonstrate significant therapeutic potential for alleviate various form of obesity-induced ed . this effect be mediate by the endothelial tcdca-fxr-phb1-atf4 axis , which upregulates serine and one-carbon metabolism , thereby offer a novel strategy to delay the onset of hypertension and other cvds .	European heart journal	03/10/2025
10.1038/s41746-025-01976-6	current status and solution for ai ethic in ophthalmology : a bibliometric analysis .	Chen X, Yang Y, Yun D, Wang R, Lin Y, Luo M, Zhang W, Yu-Wai-Man P, Burton M, Liang L, Lin H	ophthalmology , an early adopter of medical artificial intelligence ( ai ) , have make significant advancement , but ethical discussion limit . this bibliometric analysis review 498 publication from web of science and scopus ( 2000-2023 ) to explore the evolution , status , thematic trend , data modality and their ethical focus , and solution in ophthalmic ai ethic . ophthalmology rank second in medical ai ethic , with major contributor from the united state ( u ) , china , the united kingdom ( uk ) , singapore and india . ethical concern focus on privacy , fairness , and transparency . ethical priority differ by modality with fundus imaging ( 59.4 % ) and optical coherence tomography ( oct ) ( 30.9 % ) a the most common . most study ( 78.3 % ) address ethic in diagnostic algorithm development , while only 11.5 % directly target ethical concern , though this focus be increase . this study highlight the need for ai technology and guideline to address ethical challenge in ophthalmology , offer a future direction for research and innovation in medical ai governance .	NPJ digital medicine	02/10/2025
10.1016/j.redox.2025.103869	park7-driven igf2bp3-k76 lactylation mediates ferroptosis and haic resistance in hepatocellular carcinoma .	Zhu Z, Xia X, Lu Y, Li D, He X, Zhang B, Xiong G, Zhang W, Liang H, Zhu H	oxaliplatin/5-fluorouracil ( oxa/5-fu ) -based hepatic artery infusion chemotherapy ( haic ) represent a promising strategy against advanced hepatocellular carcinoma ( hcc ) , yet acquire resistance frequently impede it efficacy . here , we identify lactylation of igf2bp3 at lysine 76 ( igf2bp3-k76lac ) a a key driver of haic resistance . igf2bp3-k76lac overexpression enhances chemoresistance in vitro and in vivo . mechanistically , lactylation at igf2bp3 k76 strengthen it affinity for m6a-modified fsp1 mrna , upregulating fsp1 and confer ferroptosis resistance . blocking of igf2bp3-k76lac bolster oxa/5-fu-induced ferroptosis , disrupts antioxidant defense , and curbs tumor growth . moreover , park7 function a a lactyltransferase to facilitate igf2bp3-k76lac via increase the binding of lactate at igf2bp3-k76 site . finally , block antibody target igf2bp3-k76lac be show to work synergistically with oxa/5-fu to restore chemosensitivity . take together , our finding reveal a critical role for the park7-igf2bp3-k76lac-fsp1 axis in haic resistance , highlight igf2bp3-k76lac a a potential therapeutic target in hcc .	Redox biology	26/09/2025
10.1186/s12889-025-24558-3	association of social isolation and loneliness with incident cancer in a population-based cohort study .	Liu X, Chen P, Wang J, Li Z, Zhu Y, Yang J, Wang L, He S, Sun X, Li J, Yang H	social isolation and loneliness pose significant public health challenge globally . this study aim to examine the association of social isolation , loneliness and their combined effect with incident cancer . this study utilize data from the uk biobank ( ukb ) , which be a population-based prospective cohort . social isolation and loneliness be assess through self-reported questionnaire . cancer case be identify by link to cancer registry . a total of 430,376 participant be include , during a mean follow-up of 14.32 year , 45,131 participant be diagnose with cancer . compare to participant in least isolated group , those in most isolated group have significantly high risk of cancer of lip , oral cavity and pharynx ( hr 1.32 , 95 % ci 1.11-1.58 ) , cancer of digestive organ ( hr 1.10 , 95 % ci 1.03-1.16 ) , cancer of respiratory and intrathoracic organ ( hr 1.17 , 95 % ci 1.07-1.28 ) , breast cancer ( hr 1.11 , 95 % ci 1.04-1.18 ) , cancer of female genital organ ( hr 1.23 , 95 % ci 1.09-1.38 ) , and cancer of urinary tract ( hr 1.31 , 95 % ci 1.17-1.46 ) . however , the most isolated group have low risk of cancer of mesothelial and soft tissue ( hr 0.80 , 95 % ci 0.64-0.99 ) , prostate cancer ( hr 0.88 , 95 % ci 0.83-0.94 ) . individual with loneliness have a significantly increase risk of cancer of urinary tract ( hr 1.19 , 95 % ci 1.01-1.40 ) , but a reduced risk of cancer of skin ( hr 0.76 , 95 % ci 0.61-0.93 ) . social isolation and loneliness be independently associate with incident cancer , with implication for early effective cancer prevention .	BMC public health	01/10/2025
10.1038/s41586-025-09569-9	a miniature crispr-cas10 enzyme confers immunity by inhibitory signalling .	Doherty EE, Adler BA, Yoon PH, Hsieh K, Loi K, Armbruster EG, Lahiri A, Bolling CS, Wilcox XE, Akkati A, Iavarone AT, Pogliano J, Doudna JA	microbial and viral co-evolution have create immunity mechanism involve oligonucleotide signal that share mechanistic feature with human antiviral system ( 1 ) . in these pathway , include cyclic oligonucleotide-based antiphage signal system ( cbasss ) and type iii crispr system in bacteria and cyclic gmp-amp synthase-stimulator of interferon gene ( cgas-sting ) in human , oligonucleotide synthesis occur upon detection of virus or foreign genetic material in the cell , trigger the antiviral response ( 2-4 ) . here , in an unexpected inversion of this process , we show that the crispr-related enzyme mcpol synthesize cyclic oligonucleotides constitutively a part of an active mechanism that repress a toxic effector . cell-based experiment demonstrate that the absence or loss of mcpol-produced cyclic oligonucleotides trigger cell death , prevent the spread of virus that attempt immune evasion by deplete host cyclic nucleotide . structural and mechanistic investigation reveal mcpol to be a di-adenylate cyclase whose product , c-di-amp , prevents toxic oligomerization of the effector protein 2tmβ . analysis of cell by fluorescence microscopy show that lack of mcpol allow 2tmβ-mediated cell death due to inner membrane collapse . these finding unveil a powerful defence strategy against virus-mediated immune suppression , expand our understanding of the role of oligonucleotides in immunity .	Nature	01/10/2025
10.1002/ijgo.70577	paracetamol ( acetaminophen ) use during pregnancy and autism risk : evidence do not support causal association .	Louwen F, Deuster E, McAuliffe FM, Jacobsson B, Geary M, Fleischman S, Kihara AB	recent political statement link paracetamol ( acetaminophen ) use during pregnancy to autism spectrum disorder have create concern among patient and healthcare provider worldwide . this editorial critically examine the scientific evidence , highlight that the large and most methodologically rigorous population-based study employ sibling control analyse demonstrate no causal association between prenatal paracetamol exposure and neurodevelopmental disorder . while some observational study have suggest potential weak association , these finding likely reflect confound by indication and familial genetic factor rather than actual causal relationship . the most robust evidence come from a swedish population-based study of 2.48 million child , which find no increase risk when control for familial confounding . major international medical organization include acog , rcog , and figo , and regulatory agency include the european medicine agency continue to recommend paracetamol a the safe analgesic option during pregnancy when clinically indicate . the established risk of untreated pain and fever during pregnancy significantly outweigh theoretical concern base on methodologically limited study . healthcare provider should continue evidence-based counseling while avoid unnecessary anxiety about this essential medication in obstetric practice .	International journal of gynaecology and obstetrics: the official organ of the	30/09/2025
10.1038/s41467-025-64173-9	creative experience and brain clock .	Coronel-Oliveros C, Migeot J, Lehue F, Amoruso L, Kowalczyk-Grębska N, Jakubowska N, Mandke KN, Seabra JP, Orio P, Campbell D, Gonzalez-Gomez R, Prado P, Cuadros J, Tagliazucchi E, Cruzat J, Legaz A, Medel V, Hernandez H, Fittipaldi S, Altschuler F, Moguilner S, Baez S, Santamaria-Garcia H, González-Hernández A, Bonilla-Santos J, Güntekin B, Babiloni C, Abasolo D, Di Caterina G, Yener GG, Escudero J, Ochoa-Gómez JF, Soto-Añari M, Bruno MA, Valdes-Sosa PA, Anghinah R, Gonzalez-Montealegre RA, Clark RA, García AM, Kaltwasser L, Schürmann M, Meier JM, Brzezicka A, Whelan R, Lawlor B, Robertson IH, Bailey C, Melloni L, Sajnani N, Ibanez A	creative experience may enhance brain health , yet metric and mechanism remain elusive . we characterize brain health use brain clock , which capture deviation from chronological age ( i.e. , accelerate or delay brain age ) . we combine m/eeg functional connectivity ( n = 1,240 ) with machine learn support vector machine , whole-brain modeling , and neurosynth metanalyses . from this framework , we reanalyzed previously publish datasets of expert and match non-expert participant in dance , music , visual art , and video game , along with a pre/post-learning study ( n = 232 ) . we find delay brain age across all domain and scalable effect ( expertise > learning ) . the high the level of expertise and performance , the great the delay in brain age . age-vulnerable brain hub show increased connectivity link to creativity , particularly in area relate to expertise and creative experience . neurosynth analysis and computational modeling reveal plasticity-driven increase in brain efficiency and biophysical coupling , in creativity-specific delayed brain age . finding indicate a domain‑independent link between creativity and brain health .	Nature communications	03/10/2025
10.1001/jamanetworkopen.2025.33512	use of ai in identification of sexually transmit infection and anogenital dermatosis : a systematic review and meta-analysis .	Soe NN, Kusnandar II, Latt PM, Fairley CK, Chow EPF, Maatouk I, Johnson CC, Shah P, Peters RPH, Subissi L, Zhang L, Ong JJ	artificial intelligence ( ai ) excels in dermatology . however , it application to sexually transmitted infection ( stis ) remain unclear . to assess the performance of ai algorithm and their application in detect stis and anogenital dermatosis from clinical image in sexual health . six database ( ieee xplore , embase , scopus , medline , web of science , and cinahl ) be search for study publish from january 1 , 2010 , to april 12 , 2024 , use 3 main concept : artificial intelligence , diagnosis , and sexually transmitted infection . study that use ai to identify anogenital skin condition from clinical image be include . study that use non-ai approach or nonanogenital condition , as well a review and study lack performance metric , be exclude . follow the preferred reporting item for systematic review and meta-analyses ( prisma ) guideline , 2 reviewer independently assess full-text article and extract data use a standardized spreadsheet . another 2 reviewer resolve any disagreement . a modified quality assessment of diagnostic accuracy study ( quadas-2 ) critical appraisal tool and the checklist for evaluation of image-based ai report in dermatology ( clear derm ) be use for quality assessment . pool sensitivity and specificity of ai application for detect anogenital skin condition . a bivariate random-effects meta-analysis be conduct for condition with more than 3 study . of 5381 study screen and 258 full text select , 140 meet the inclusion criterion . most study report on mpox ( 110 [ 78.6 % ] ) , while other anogenital condition , include genital herpes ( 7 [ 5.0 % ] ) , genital wart ( 8 [ 5.7 % ] ) , scabies ( 8 [ 5.7 % ] ) , and molluscum contagiosum ( 6 [ 4.3 % ] ) , receive less attention . meta-analyses show high performance of ai for identification of mpox ( pooled sensitivity : 0.96 [ 95 % ci , 0.93-0.97 ] ; pool specificity : 0.98 [ 95 % ci , 0.97-0.99 ] ) , herpes simplex ( sensitivity : 0.91 [ 95 % ci , 0.71-0.98 ] ; specificity : 0.97 [ 95 % ci , 0.94-0.98 ] ) , genital wart ( sensitivity : 0.87 [ 95 % ci , 0.67-0.96 ] ; specificity : 0.98 [ 95 % ci , 0.95-0.99 ] ) , psoriasis ( sensitivity : 0.90 [ 95 % ci , 0.78-0.95 ] ; specificity : 0.98 [ 95 % ci , 0.96-0.99 ] ) , and scabies ( sensitivity : 0.89 [ 95 % ci , 0.84-0.93 ] ; specificity : 0.98 [ 95 % ci , 0.95-0.99 ] ) . study quality be variable , and the assessment identify high risk of bias across the population selection ( 76.1 % ) , reference standard ( 76.1 % ) , and index test ( 20.0 % ) . most study rely on open-source datasets ( 121 [ 86.4 % ] ) ; only 17 ( 12.1 % ) use external validation . all but 1 study ( 0.7 % ) remain at the proof-of-concept stage , and model be not publicly available for external evaluation . the finding suggest that ai show promise in identify stis and anogenital dermatosis but that significant research gap exist . future work should prioritize understudied stis and differential condition while improve data quality , conduct external validation , and validate finding in clinical setting .	JAMA network open	01/10/2025
10.1016/j.molcel.2025.09.006	parp1 auto-modification promotes faithful okazaki fragment processing and limit replication fork speed .	Elsborg JD, Munk SHN, Adelantado-Rubio A, Pék R, Fábian Z, Imburchia V, Zentout S, Hendriks IA, Buch-Larsen SC, Smith R, Bartek J, Duxin JP, Huet S, Maya-Mendoza A, Nielsen ML	poly ( adp-ribose ) polymerase ( parp ) inhibitor have prove their efficacy for treat tumor defective in homologous recombination via synthetic lethality . in response to dna break , parp1 be the primary adp-ribosylation writer , modify itself ( auto-modification ) and other protein to facilitate repair . however , enzymatic inhibition block both process , make it difficult to dissect their distinct functional role . use proteomics and site-directed mutagenesis , we identify a parp1 mutant deficient in auto-modification , yet it retain catalytic activity . this separation-of-function mutant reveal that parp1 auto-modification slows dna replication fork progression but be dispensable for repair factor recruitment . instead , auto-modification promote the timely release of parp1 at dna break site and prevent the formation of replication stress . simultaneous inhibition of fen1 and loss of parp1 auto-modification give rise to synthetic lethality , implicate auto-modification in okazaki fragment processing . our result demonstrate that trapping of parp at dna break impede repair factor accessibility , constitute an important dimension of parp-inhibitor-driven cytotoxicity .	Molecular cell	02/10/2025
10.1038/srep36943	murine hypothalamic destruction with vascular cell apoptosis subsequent to combine administration of human papilloma virus vaccine and pertussis toxin .	Aratani S, Fujita H, Kuroiwa Y, Usui C, Yokota S, Nakamura I, Nishioka K, Nakajima T	vaccination be the most powerful way to prevent human being from contract infectious disease include virus . in the case of the human papillomavirus ( hpv ) vaccine , an unexpectedly novel disease entity , hpv vaccination associate neuro-immunopathetic syndrome ( han ) , have be report and remain to be carefully verify . to elucidate the mechanism of han , we apply a strategy similar to the active experimental autoimmune encephalitis ( eae ) model - one of the most popular animal model use to induce maximum immunological change in the central nervous system . surprisingly , mouse vaccinate with pertussis toxin show neurological phenotype that include low responsiveness of the tail reflex and locomotive mobility . pathological analysis reveal the damage to the hypothalamus and circumventricular region around the third ventricle , and these region contain apoptotic vascular endothelial cell . these data suggest that hpv-vaccinated donners that be susceptible to the hpv vaccine might develop han under certain environmental factor . these result will give u the new insight into the murine pathological model of han and help u to find a way to treat of patient suffer from han .	Scientific reports	11/11/2016
10.1001/jamaoncol.2025.3760	the definition of cure in colon cancer : a pooled analysis of 15 randomized clinical trial .	Pastorino A, Liu H, Pederson L, Martelli V, Iveson T, de Gramont A, Alberts SR, George TJ, Yothers G, Harkin A, Labianca R, Taieb J, Schmoll HJ, Twelves C, Wolmark N, Saltz LB, Souglakos I, Goldberg RM, Kerr R, Lonardi S, Yoshino T, Puccini A, André T, Shi Q, Sobrero A	the definition of cure in stage ii to iii colon cancer ( cc ) remain unclear due to limitation in conventional end point , which include death and second primary tumor a event . these can complicate communication with patient regard long-term outcome . to distinguish relapse from compete health-related event to classify long-term outcome year after surgery and explore when the incidence of true relapse of the initial cc approach 0 % to define cure in this disease . design , set , this pooled analysis of individual patient-level data from 15 phase 3 randomized clinical trial assess time to cc-related relapse use kaplan-meier and aalen-johansen method , with death and second primary tumor treat a compete risk . cox regression model evaluate prognostic association , stratify by sex , stage , and tumor . patient with stage ii to iii cc who undergo adjuvant chemotherapy be include . all patient have undergone radical surgery for cc and receive adjuvant chemotherapy with a median follow-up of at least 6 year . the adjuvant colon cancer endpoint ( accent ) and the international duration evaluation of adjuvant chemotherapy ( idea ) databases included adjuvant study conduct between 1996 and 2015. data be analyze from february 2022 to june 2025. adjuvant chemotherapy regimen vary across trial , include fluoropyrimidines alone or in combination with oxaliplatin or biologic agent . the primary outcome be time to cc-related recurrence . the predefined threshold for cure be a recurrence risk below 0.5 % . of 35 213 include patient , 19 346 ( 54.9 % ) be male , and the mean ( sd ) age be 60.2 ( 10.8 ) year . the incidence rate of recurrence peak at 6.4 % ( 1993 of 31 373 ) between month 6 and month 12 and decrease continuously until year 10 of follow-up never exceed 0.5 % . recurrence rate appear to increase again after year 10 and peak at 2.0 % during year 12.5 to year 13 , a pattern observe exclusively in the mosaic trial . competing-event analysis reveal that death and second primary tumor inflate the apparent recurrence rate , especially for old patient . the overall cumulative incidence of relapse with death a compete risk be low among female patient ( hazard ratio , 0.58 ; 95 % ci , 0.45-0.76 ; p < .001 ) . in this pooled analysis of phase 3 randomized clinical trial , a recurrence rate less than 0.5 % occur after 6 year from surgery , support a practical definition of cure . recognize this milestone may improve patient communication , guide follow-up duration , and reduce unnecessary long-term surveillance .	JAMA oncology	02/10/2025
10.1038/s43587-025-00968-1	zdhhc11-mediated palmitoylation alleviate chondrocyte senescence and serve a a therapeutic target for osteoarthritis .	Wang K, He W, Gong Z, Gao J, Gao T, Pan N, Wu D, Yang Y, Li Z, Zhao X, Ji M, Shen S	osteoarthritis ( oa ) be a whole-joint disorder that interfere with the quality of life in old individual . here we report that zdhhc11 be highly express in articular chondrocytes but be downregulated in the degenerated cartilage of aged mouse and patient with oa . zdhhc11 prevents chondrocyte senescence and promote cartilage anabolism , culminate in an improved oa phenotype . the deletion of zdhhc11 in mouse ( zdhhc11 ( fl/fl ) ) exacerbate oa progression in a destabilized medial meniscus model . specifically , we identify zdhhc11 a a key palmitoyltransferase whose depletion lead to a gnb2-dependent e3 ubiquitin ligase-mediated proteasomal degradation of apod . mechanistically , zdhhc11-mediated palmitoylation alleviate oa progression by deactivate the gata4-p65 signaling pathway . we also propose an original lipid nanoparticle-based platform for zdhhc11 mrna delivery to rejuvenate impaired cartilage by specifically target chondrocytes in vivo . collectively , zdhhc11-dependent palmitoylation be essential for ameliorate oa , and the targeted delivery of zdhhc11 may serve a a promising strategy for future oa treatment .	Nature aging	30/09/2025
